,StateCode,Year,MSN,Data
736,OK,2016,Solar,115.0
737,OK,2017,Solar,382.0
738,OK,2018,Solar,691.0
739,OK,2019,Solar,734.0
740,OR,2000,Solar,633.0
741,OR,2001,Solar,655.0
742,OR,2002,Solar,662.0
743,OR,2003,Solar,677.0
744,OR,2004,Solar,681.0
745,OR,2005,Solar,744.0
746,OR,2006,Solar,877.0
747,OR,2007,Solar,1059.0
748,OR,2008,Solar,1250.0
749,OR,2009,Solar,1392.0
750,OR,2010,Solar,1569.0
751,OR,2011,Solar,1692.0
752,OR,2012,Solar,1938.0
753,OR,2013,Solar,2139.0
754,OR,2014,Solar,2323.0
755,OR,2015,Solar,2430.0
756,OR,2016,Solar,3140.0
757,OR,2017,Solar,4827.0
758,OR,2018,Solar,8464.0
759,OR,2019,Solar,9438.0
760,PA,2000,Solar,437.0
761,PA,2001,Solar,408.0
762,PA,2002,Solar,397.0
763,PA,2003,Solar,366.0
764,PA,2004,Solar,403.0
765,PA,2005,Solar,429.0
766,PA,2006,Solar,491.0
767,PA,2007,Solar,547.0
768,PA,2008,Solar,605.0
769,PA,2009,Solar,738.0
770,PA,2010,Solar,1435.0
771,PA,2011,Solar,2552.0
772,PA,2012,Solar,3122.0
773,PA,2013,Solar,3511.0
774,PA,2014,Solar,3707.0
775,PA,2015,Solar,3758.0
776,PA,2016,Solar,4071.0
777,PA,2017,Solar,4684.0
778,PA,2018,Solar,5111.0
779,PA,2019,Solar,5874.0
780,RI,2000,Solar,33.0
781,RI,2001,Solar,30.0
782,RI,2002,Solar,27.0
783,RI,2003,Solar,25.0
784,RI,2004,Solar,22.0
785,RI,2005,Solar,26.0
786,RI,2006,Solar,56.0
787,RI,2007,Solar,59.0
788,RI,2008,Solar,65.0
789,RI,2009,Solar,64.0
790,RI,2010,Solar,64.0
791,RI,2011,Solar,105.0
792,RI,2012,Solar,154.0
793,RI,2013,Solar,163.0
794,RI,2014,Solar,240.0
795,RI,2015,Solar,298.0
796,RI,2016,Solar,450.0
797,RI,2017,Solar,679.0
798,RI,2018,Solar,1173.0
799,RI,2019,Solar,2131.0
800,SC,2000,Solar,23.0
801,SC,2001,Solar,22.0
802,SC,2002,Solar,22.0
803,SC,2003,Solar,21.0
804,SC,2004,Solar,20.0
805,SC,2005,Solar,19.0
806,SC,2006,Solar,19.0
807,SC,2007,Solar,24.0
808,SC,2008,Solar,31.0
809,SC,2009,Solar,35.0
810,SC,2010,Solar,38.0
811,SC,2011,Solar,47.0
812,SC,2012,Solar,53.0
813,SC,2013,Solar,58.0
814,SC,2014,Solar,117.0
815,SC,2015,Solar,140.0
816,SC,2016,Solar,412.0
817,SC,2017,Solar,2037.0
818,SC,2018,Solar,6949.0
819,SC,2019,Solar,10607.0
820,SD,2000,Solar,0.0
821,SD,2001,Solar,0.0
822,SD,2002,Solar,3.0
823,SD,2003,Solar,3.0
824,SD,2004,Solar,3.0
825,SD,2005,Solar,3.0
826,SD,2006,Solar,4.0
827,SD,2007,Solar,4.0
828,SD,2008,Solar,4.0
829,SD,2009,Solar,5.0
830,SD,2010,Solar,5.0
831,SD,2011,Solar,5.0
832,SD,2012,Solar,6.0
833,SD,2013,Solar,6.0
834,SD,2014,Solar,9.0
835,SD,2015,Solar,10.0
836,SD,2016,Solar,15.0
837,SD,2017,Solar,32.0
838,SD,2018,Solar,29.0
839,SD,2019,Solar,33.0
840,TN,2000,Solar,53.0
841,TN,2001,Solar,50.0
842,TN,2002,Solar,44.0
843,TN,2003,Solar,39.0
844,TN,2004,Solar,34.0
845,TN,2005,Solar,29.0
846,TN,2006,Solar,35.0
847,TN,2007,Solar,36.0
